"縣市鄉鎮","物資存放點","主/次分類","條碼號","品名","最小單位規格","庫存數量","單位","保存期限"
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1060401 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 20 "," 包 "," 1051231 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 40 "," 包 "," 1050805 "
" 臺北市   南港區 "," 臺北市南港區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   中山區 "," 臺北市新興國中 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051027 "
" 臺北市   大同區 "," 台北市大同區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1061031 "
" 臺北市   中山區 "," 臺北市中山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051122 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1051027 "
" 臺北市   中正區 "," 臺北市中正區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061031 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1040705 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1061031 "
" 臺北市   中山區 "," 臺北市五常國中 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061031 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1060330 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060330 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051109 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050404 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051109 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051013 "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060217 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051109 "
